1000m        1 SIM 1000公里
wiap       724 PUZ 卡門美國時空之旅
wiusa      725 PUZ 卡門美國之旅
carmen4    726 PUZ 卡門時空之旅
cmworldd   727 PUZ 卡門世界之旅
carmens    728 PUZ 卡門太空之旅
KNG        729 SIM 卡耐雞人生指南
KARNOV     730 ACT 卡諾夫
PEE        731 ACT 卡通快打
peegity    732 ACT 卡通快打SP
WACKY      733 SIM 卡通賽車
ko96       734 SIM 開球96
ko97       735 SIM 開球97
JACKR      736 AVG 開膛手傑克
ky3        737 AVG 凱蘭蒂亞傳奇3
K1         738 AVG 凱蘭蒂亞傳奇
KY2        739 AVG 凱蘭蒂亞傳奇2
CESAR1     740 SLG 凱撒大帝
CESAR2     741 SLG 凱撒大帝2
kaiser     742 SLG 凱撒立志傳
colorado   743 ACT 科羅拉多
comanch2   744 SIM 科曼奇2
FR         745 ACT 科學怪人
TTN        746 AVG 科學小飛俠
clyde2     747 PUZ 克萊德復仇
clydes1    748 PUZ 克萊德冒險
dqk        749 RPG 克萊恩的黑暗女皇
KREMLIN    750 SLG 克里姆林宮危機
SHADOW     751 AVG 克蘇魯傳說魔影哈雷
kenslaby   752 ACT 肯的迷宮
AR         753 ACT 空降遊騎兵
afc        754 SLG 空軍指揮官
bk         755 SIM 空戰黑騎士
AOW        756 RTS 空戰藝術
fduel      757 SIM 空中決鬥
AIR18      758 ACT 空中突擊18
CAP        759 SIM 空中巡邏
dinopark   760 SIM 恐龍公園大亨
WEREBACK   761 ACT 恐龍歸來
DF         762 ACT 恐龍快打
DINOWARS   763 PUZ 恐龍棋
DINO       764 SPG 恐龍世紀
DINO3D     765 PUZ 恐龍益智問答
PAIN       766 ACT 苦難劇場
spacefed   767 SIM 跨越行星
SUPERFIG   768 ACT 快打至尊
ALIENRAM   769 ACT 狂暴異形
MAD        770 RPG 狂龍傳
runrace    771 SIM 狂熱車賽
21stcent   772 PUZ 狂熱彈珠檯
MADPARA    773 HGA 狂野悖論
wildwest   774 SIM 狂野西部
WAXWORKS   775 AVG 蠟像館之謎
blueice    776 AVG 藍冰
smurfs     777 ACT 藍精靈
lambo      778 SIM 藍莫吉尼巡迴賽
demon      779 ACT 藍色怪魔
BFORCE     780 SIM 藍色行動
bluemax    781 SIM 藍色馬克思
BG         782 HGA 藍色石榴石
BA69       783 PUZ 藍色天使
TBME       784 SIM 籃球經理
hurl       785 ACT 懶蟲大戰
wlfsbane   786 AVG 狼禍
RAIDEN     787 ACT 雷電
quik       788 ACT 雷電兔
thunstr    789 SIM 雷擊戰機
TH2        790 SIM 雷擊戰機2
tscape     791 RPG 雷景:艾登世界
rex        792 HGA 雷克斯
myra       793 PUZ 雷米兔傳奇
thawk      794 SIM 雷鳥
XANADU     795 RPG 雷諾尼都紀事(迷城的國度)
GOT        796 PUZ 雷神
QUAKE      797 ACT 雷神之錘
LTANK      798 ACT 鐳射坦克
ANGEL1     799 SIM 擂台美少女/天使摔角
WA3        800 SIM 擂台美少女3/天使摔角3
DAWNPTRL   801 SIM 黎明特警
ANVIL      802 RPG 黎明鐵砧
PD         803 HGA 禮物
inner      804 ACT 裡世界/狼女
powers     805 ACT 力之奴僕
history    806 SLG 歷史大戰役
3DPIT      807 PUZ 立體俄羅斯
hioct      808 SIM 立體狂飈
TW         809 HGA 麗獸
LOTUS      810 SIM 蓮花賽車無限
FACES      811 PUZ 臉譜方塊
inferno    812 SIM 煉獄飛行
PLAYART    813 AVG 戀愛試煉場
quandary   814 AVG 量子博士之島
0004       815 RPG 聊齋誌異
UK         816 RPG 聊齋誌異幽谷傳奇
MWOLF      817 SPG 烈焰鋼狼傳
orion      818 AVG 獵戶座陰謀
huntfor    819 SIM 獵殺紅色十月
SILENT     820 SIM 獵殺潛航
LINJIAN    821 RPG 靈劍傳奇
OUTWORLD   822 AVG 另一個世界
LIUBAE     823 SLG 劉備傳
CMDJ2      824 RPG 劉伯溫傳奇
SHH        825 ACT 龍霸三合會
rott       826 ACT 龍霸三合會資料片
boot       827 SLG 龍霸天下
DRAGON3    828 HGA 龍騎士3
DRA4       829 HGA 龍騎士4
SANGOW     830 SPG 龍騰三國
DRAGONL    831 AVG 龍穴歷險記
timewarp   832 AVG 龍穴歷險記2
dl3        833 AVG 龍穴歷險記3
xargon     834 ACT 龍戰記X
WZ         835 ACT 龍之傳奇
DRAKKHEN   836 RPG 龍之道
rised      837 AVG 龍之崛起
DRAK       838 AVG 龍之王國
swotl      839 SIM 盧夫的秘密武器
LUDIN      840 RPG 鹿鼎記
KING1      841 RPG 亂世伏魔錄
ROBIN      842 AVG 羅賓漢大冒險
rohan      843 SLG 羅恩騎士
RPME       844 SLG 羅馬權利之路
WALLS      845 SIM 羅馬之牆+編輯器
rosemary   846 PUZ 羅斯瑪麗的占卜屋
rotox      847 ACT 羅特斯機械人
rotor      848 ACT 羅特戰機
MEGAMAN3   849 ACT 洛克人3
MMX        850 ACT 洛克人X
S16MJ      851 PUZ 麻將大師
MJ         852 HGA 麻將情趣屋
MJ2        853 HGA 麻將情趣屋2
MJZB       854 PUZ 麻將爭霸
MF2        855 HGA 麻雀幻想曲2
MF3        856 HGA 麻雀幻想曲3
MARBLE     857 HGA 馬玻的料理
HORSE      858 SIM 馬場大亨
marior     859 SIM 馬里昂的賽車挑戰
mariom     860 PUZ 馬里奧不見了
MARIOTT    861 PUZ 馬里奧教你打字
MARIOG     862 PUZ 馬里奧遊戲展
ringsoft   863 PUZ 瑪吉之環
MARY       864 ACT 瑪麗姐妹
jquestmw   865 AVG 瑪雅勇士的詛咒
MC         866 ACT 麥當勞世界
manud      867 SIM 曼聯傳奇
blindwar   868 PUZ 盲戰
TOMJERRY   869 ACT 貓和老鼠
TJ2        870 ACT 貓和老鼠2
SOA        871 RPG 冒險之魂
R_KNIGHT   872 SIM 玫瑰騎士
tromed     873 RPG 美杜莎歸來
ANIGHT     874 SLG 美國噩夢
USNF       875 SIM 美國海軍戰機
dreamer    876 HGA 美女拳
LOVE       877 PUZ 美女終結者
QUIZ       878 PUZ 美女綜藝
PM         879 SIM 美少女夢工廠
PM2        880 SIM 美少女夢工廠2
G11        881 PUZ 美少女撲克
GB         882 HGA 美少女特勤組
GIRL       883 PUZ 美少女戰記
FASC       884 HGA 魅力遊戲
gtw        885 ACT 門外世界三部曲
MONF       886 HGA 悶絕性技王傳說
DREAM      887 ACT 猛鬼街
RAPTOR     888 ACT 猛龍戰機
FANTASY    889 SLG 夢幻國度
FANC       890 SPG 夢幻天使
YUMEMI     891 HGA 夢見坡
DREAMWEB   892 HGA 夢網
BASH       893 ACT 夢魘怪物大作戰
SLEEPTRN   894 ACT 夢遊小子
DMASTER    895 RPG 迷宮大師
DM2        896 RPG 迷宮大師2
DHACK      897 RPG 迷宮羅格
manley     898 AVG 迷失洛杉磯
MEI        899 HGA 迷走都市
MIL        900 RPG 米蘭斯紀事-聖域傳奇
ITE        901 AVG 妙狐神探
STAR       902 SIM 明日之星
STAR2      903 SIM 明日之星2
STARDM     904 SIM 明星志願
GHOST      905 RPG 冥界幻姬
CC         906 RTS 命令與征服
C&C        907 RTS 命令與征服整合版
CHAOS      908 ACT 命運戰士/混沌引擎
spearres   909 ACT 命運之矛重製版
batdest    910 SLG 命運之戰
SIMCITY    911 SIM 模擬城市(1989)
SC2000     912 SIM 模擬城市2000
simcity2   913 SIM 模擬城市2000增強版
biggame    914 SIM 模擬垂釣
HR2        915 SIM 模擬大樓
SIMEARTH   916 SIM 模擬地球
ZOO        917 SIM 模擬動物園
coaster    918 SIM 模擬過山車
SIMANT     919 SIM 模擬螞蟻
SIMFARM    920 SIM 模擬農場
WOLFPACK   921 SIM 模擬潛艇
SIMLIFE    922 SIM 模擬生命
HEALTH     923 SIM 模擬衛生
fred       924 ACT 摩登原始人
ACROSS     925 ACT 摩托車越野賽
IDMAS      926 SIM 摩托城市
EMONEY     927 PUZ 魔島大富翁
PEVIL      928 ACT 魔道子
BTHORNE    929 ACT 魔動王子/黑色荊棘
MOM        930 SIM 魔法大帝
MPOCKET    931 ACT 魔法袋
CARPET     932 ACT 魔法飛毯
CARPET2    933 ACT 魔法飛毯2
CARPETP    934 ACT 魔法飛毯PLUS
AMBUSHF    935 SLG 魔法伏擊
SNOW       936 RPG 魔法公主大冒險
GEMFIRE    937 SLG 魔法皇冠
warlocks   938 SPG 魔法軍團
MM         939 RPG 魔法門
MM2RPG     940 RPG 魔法門2
MM3        941 RPG 魔法門3幻島歷險記
MM3E       942 RPG 魔法門3英版
MM5        943 RPG 魔法門4+5英版
XEEN       944 RPG 魔法門4星云之謎
DARKX      945 RPG 魔法門5黑暗魔君
xeensd     946 RPG 魔法門星云之劍
HMM1       947 SLG 魔法門英雄無敵
HEROES2    948 SLG 魔法門英雄無敵2
hero2      949 SLG 魔法門英雄無敵2中文
HEROES     950 SLG 魔法門英雄無敵中文
mboy       951 ACT 魔法少年
SIMON      952 AVG 魔法師西蒙
MAGIC      953 SPG 魔法世紀
MAGIC2     954 SPG 魔法世紀2
triamagi   955 ACT 魔法試煉
MFTS       956 SLG 魔法天師
mirrorm    957 PUZ 魔法之鏡
PAB        958 HGA 魔宮救美寶石
SALES      959 PUZ 魔鬼推銷員
dominus    960 SLG 魔幻霸主
FG         961 SLG 魔幻將軍
KUMI       962 HGA 魔界聖女傳
SUMMON     963 RPG 魔界召喚
GSE2       964 SPG 魔界之泉動亂魔都
BGS        965 SPG 魔界之泉灰石傳奇
RASTAN     966 ACT 魔境傳說
SKY        967 RTS 魔空霸傳
DRAGON     968 HGA 魔龍紀事
CURSE      969 AVG 魔魅大陸的詛咒
HY         970 RPG 魔日傳說
MG1        971 RPG 魔神戰記
MG2        972 RPG 魔神戰記2
MIRAGE2    973 HGA 魔石英雄傳說2
newslg     974 SLG 魔獸大戰略
WARC       975 RTS 魔獸爭霸1
WAR2       976 RTS 魔獸爭霸2
war2c      977 RTS 魔獸爭霸2中文版
WAR2X      978 RTS 魔獸爭霸2資料篇
XROCK      979 PUZ 魔術綵球
BEYOND     980 PUZ 魔術方塊
MT         981 AVG 魔胎
DKS        982 RPG 魔武王
SEAL       983 RPG 魔眼封印
EOB        984 RPG 魔眼殺機
EOB2       985 RPG 魔眼殺機2隱月傳奇
EOB3       986 RPG 魔眼殺機3血戰扎諾爾
LEGEND1    987 RPG 魔眼水晶
MYXS       988 SLG 魔眼邪神
celtict    989 SLG 魔眼邪神英版
FUJIN      990 AVG 魔異入侵
PROPHET    991 RPG 魔域傳奇:石之預言者1.1
RLOFT      992 RPG 魔域傳奇:史特卡的財寶1.2
FQ4        993 RTS 魔域傳說4波斯戰記
ECSTATIC   994 ACT 魔域迷蹤
ECSTATIC2  995 AVG 魔域迷蹤2
evilgate   996 RPG 魔棧
BOOK1      997 RPG 末日寶典
HADE       998 ACT 末日戰神
apocalyp   999 ACT 末日之牛
moktar    1000 ACT 莫克塔歷險記
hz        1001 ACT 墓地喪屍
curseoft  1002 ACT 墓穴詛咒
nazip     1003 ACT 那蘇冒險
SW        1004 SIM 納粹飛行秘史+資料片
nascar    1005 SIM 納斯卡賽車1
nascar2   1006 SIM 納斯卡賽車2
OIL       1007 SIM 南海霸主
ice       1008 AVG 南極冰怪
antartic  1009 ACT 南極大冒險
NSYLZ     1010 RPG 南宋英烈傳
TATOU     1011 ACT 南與北
ISLANDB   1012 AVG 腦博士之島
nippon    1013 AVG 尼旁事務所
WE        1014 HGA 逆玉王
SERFCITY  1015 SIM 農奴城市
wings     1016 ACT 怒之機翼
ABUSE     1017 ACT 虐殺異形
nomad93   1018 SIM 諾曼計劃93
QUEENH    1019 HGA 女皇杯(日)
4queensc  1020 PUZ 女皇賭場
RELIG     1021 SIM 女神學院
leather2  1022 AVG 女神之翼
OLZX      1023 SLG 歐陸戰線
ERE       1024 PUZ 歐洲女皇撲克
wwfeuro   1025 ACT 歐洲巡迴摔角
euro96    1026 SIM 歐洲足球96
KRONDOR   1027 RPG 叛變克朗多
tongue    1028 ACT 胖子之怒
CANNON    1029 ACT 炮灰(又名小兵立大功)
CAN2      1030 ACT 炮灰2
jetpack   1031 ACT 噴氣背包
SUNNYNA   1032 PUZ 碰美龍戰士
HITBALL   1033 PUZ 碰碰球
pizza     1034 SIM 披薩大亨
DIES      1035 HGA 霹靂嬌娃
PILI      1036 RPG 霹靂幽靈劍
PUZZLER   1037 HGA 拼圖大師
unc       1038 HGA 拼圖乒乓台
STONE     1039 PUZ 拼字遊戲
ZYCA      1040 RPG 破壞神傳說
fpoker    1041 PUZ 撲克俱樂部
BUBU      1042 ACT 噗噗闖通關
goonies   1043 ACT 七寶奇謀
7CITY     1044 SLG 七大黃金之城
7UP       1045 ACT 七喜小子
sorcer    1046 ACT 七星魔法使
SEVEN     1047 RPG 七英雄外傳王者之師
NANA      1048 HGA 七英雄物語
NANA2     1049 HGA 七英雄物語2
TINTAI    1050 ACT 齊天大聖
chips     1051 PUZ 其普斯的挑戰
GMP       1052 ACT 奇幻遊戲三合一
DRAG      1053 RPG 奇門遁甲之九五真龍
ZACK      1054 AVG 奇妙的扎克
GADGET    1055 AVG 奇探加傑特全球恐慌
KIRIN     1056 RPG 麒麟傳說
motocity  1057 SIM 汽車大亨
kilo      1058 ACT 千兆轟炸
freddy    1059 AVG 前線藥劑師
tgun      1060 HGA 槍神
MONOPLAY  1061 PUZ 強手棋
BICYCLE   1062 PUZ 橋牌
MVP       1063 PUZ 橋牌MVP
chex      1064 ACT 切克斯歷險記
chex2     1065 ACT 切克斯歷險記2
marry     1066 PUZ 青澀的果實
VRBB      1067 SIM 青少棒揚威記
iuc       1068 AVG 清白無罪
guilty    1069 AVG 清白無罪2
ewj       1070 ACT 蚯蚓吉姆
ewj2      1071 ACT 蚯蚓吉姆2
365       1072 PUZ 求婚365日
raid      1073 SIM 區域掠奪
HOCUS     1074 ACT 趣怪小巫師
domini    1075 SLG 權利之戰
globale   1076 SLG 全球效應
fistf     1077 ACT 拳鬥士
TOWNJ     1078 PUZ 雀之塔
BT        1079 SLG 燃燒時刻
eco2      1080 AVG 熱帶雨林的秘密
ignition  1081 SIM 熱力車賽
pyrotech  1082 ACT 熱能戰機
RENEGADE  1083 ACT 熱血硬派
TAO       1084 ACT 人間道少年燕赤霞
humans    1085 PUZ 人類進化1+2
humans3   1086 PUZ 人類進化3
moth      1087 AVG 人面蛾
JONES     1088 PUZ 人生劇場
SHINOBI   1089 ACT 忍
ninjag1   1090 ACT 忍者龍劍傳1
ngaiden2  1091 ACT 忍者龍劍傳2
joemac    1092 ACT 忍者山洞人
TMNT      1093 ACT 忍者神龜
TMNT2     1094 ACT 忍者神龜2曼哈頓之戰
TMNT3     1095 ACT 忍者神龜3
nrab      1096 ACT 忍者兔
CONQUEST  1097 SLG 日本之戰
sunset    1098 RTS 日沒
ECP       1099 SLG 日蝕
fieldglo  1100 SLG 榮耀戰場
soh       1101 ACT 榮耀之劍
QFG1      1102 AVG 榮耀之路1
QFG2      1103 AVG 榮耀之路2
QFG3      1104 AVG 榮耀之路3
qfg4      1105 AVG 榮耀之路4
BOOK      1106 RPG 如來金剛拳傳奇
sub       1107 ACT 薩巴巴指揮官
cyril     1108 ACT 賽博滑板小子
cyberlaw  1109 ACT 賽博戰警
zeldac    1110 ACT 賽爾達經典版
GTF       1111 SIM 賽馬
SGFY      1112 RTS 三國風雲
SKMJ      1113 PUZ 三國麻將
SG1       1114 SLG 三國演義
SAN       1115 SLG 三國演義1加強版
SGYY2     1116 SLG 三國演義2
SGYJ      1117 SPG 三國英傑傳
SANGUO    1118 SPG 三國英雄傳
SAN1      1119 SLG 三國志1
SAN2      1120 SLG 三國志2
SAN3      1121 SLG 三國志3
SAN4PRO   1122 SLG 三國志4加強版
SAN5PRO   1123 SLG 三國志5加強版
SGHERO    1124 SPG 三國志雄霸天下
3SIS      1125 HGA 三姐妹
3k        1126 RPG 三界論-邦沛之謎
NITERAID  1127 ACT 傘兵大戰
MINERVA   1128 PUZ 掃雷
firestor  1129 SIM 森林救火員
arcy2     1130 PUZ 森林小精靈
KX        1131 RPG 森塔勇士
X         1132 ACT 殺出機械城
amok      1133 ACT 殺戮機器
xeno      1134 ACT 殺生異形
sandstor  1135 ACT 沙暴
shakiith  1136 ACT 沙克狼
SRA       1137 AVG 沙拉那之劍
sandwar   1138 SIM 沙漠勇士
DUNE      1139 AVG 沙丘魔堡
DUNE2     1140 RTS 沙丘魔堡2
virgin    1141 RTS 沙丘魔堡2光碟版1.07
SDUNE2    1142 RTS 沙丘魔堡2加強版
dunecd    1143 AVG 沙丘魔堡光碟版
linesand  1144 SLG 沙之戰線
LOOM      1145 AVG 紗之器
MSB       1146 SPG 山海經
samnmax   1147 AVG 山姆和馬克思
FB        1148 ACT 閃回-追尋記憶之旅
MERCHAN   1149 SIM 商業王子
MPRINCE   1150 SLG 商業王子
GODS      1151 SIM 上帝
1         1152 RTS 上帝也瘋狂
2         1153 RTS 上帝也瘋狂2
HAMMER    1154 SLG 上帝之錘
esarena   1155 RPG 上古捲軸1豪華版
ARENA     1156 RPG 上古捲軸1競技場
dagger    1157 RPG 上古捲軸2匕首雨
BATSPIRE  1158 ACT 上古捲軸傳奇
CCC       1159 SLG 上古神兵
kingwar   1160 SLG 上古英雄傳
de2       1161 PUZ 上海麻將接龍
teenag    1162 AVG 少年偵探
DAUGHTER  1163 AVG 蛇女
dinaball  1164 PUZ 射波
SHEDIAO   1165 AVG 射鵰英雄傳
PETE      1166 ACT 射豆
STK95     1167 SIM 射門95
titanic   1168 ACT 深海泰坦尼克
INTONEST  1169 ACT 深入虎穴
SHENDIAO  1170 RPG 神鵰俠侶
LIAR      1171 RPG 神劍傳說
ZELIARD   1172 RPG 神劍封魔
SG        1173 RPG 神劍遊俠傳
pp        1174 PUZ 神經彈珠檯
mystery   1175 PUZ 神秘博物館
mystsong  1176 RPG 神秘之歌
TOWERS    1177 ACT 神秘之塔
GOOSE     1178 AVG 神奇王國
JCGS      1179 RPG 神示錄背叛與毀滅
oracle    1180 RPG 神諭
8SWORD    1181 RPG 神州八劍
CYBERIA   1182 ACT 生化悍將
PSY       1183 HGA 生化情人
biom      1184 ACT 生化威脅
2097      1185 ACT 生死決鬥2097
duffas    1186 PUZ 生物遊戲
TOWN      1187 RPG 聖城劫
xmascarn  1188 ACT 聖誕殘殺
xmaslem   1189 PUZ 聖誕小旅鼠
HolyI     1190 RPG 聖光島
CB        1191 ACT 聖經隊長
LAKE1     1192 SPG 聖少女戰隊
LAKE2     1193 SPG 聖少女戰隊2
LAKE3     1194 SPG 聖少女戰隊3
MAY       1195 RPG 聖域傳說
G4S       1196 SPG 聖戰風雲錄
SZL       1197 AVG 聖戰錄
DS        1198 SLG 聖戰物語
SZWY      1199 SPG 聖戰物語
ff2       1200 SIM 失控駕駛2
atria     1201 RPG 失落的大地
DOR       1202 RPG 失落的封印
TRIBE     1203 AVG 失落的氏族
armaeth   1204 AVG 失落的王國
VIKINGS   1205 ACT 失落的維京人
lv2       1206 ACT 失落的維京人2
aplaces   1207 RPG 失落之地英雄時代
abmisthe  1208 ACT 獅子安必斯
LIONKING  1209 ACT 獅子王
GMJ       1210 HGA 十六張姬麻將
AMBUSHC   1211 RTS 十面埋伏
crusade   1212 SLG 十字軍權利之戰
stkp      1213 RPG 石堡
stonea    1214 PUZ 石器時代
rocks     1215 PUZ 石與鑽
vex       1216 SIM 石中劍的復仇
paratime  1217 AVG 時空悖論
timeco    1218 ACT 時空遊俠
LOST      1219 AVG 時空迷航
timeslau  1220 ACT 時空殺戮
TIME      1221 ACT 時空特勤組
BRUCE     1222 RPG 時空異變
SH        1223 ACT 時空戰士
ENTITY    1224 ACT 實體
epicpin   1225 PUZ 史詩彈珠檯
EPIC      1226 SIM 史詩星戰
TSC       1227 SIM 世紀末商業革命
eaction   1228 SIM 世界大戰
boxma     1229 SIM 世界拳擊經理
wwfyh     1230 ACT 世界摔角聯盟
F1GP2     1231 SIM 世界巡迴車賽2
roadx     1232 SIM 世界巡迴公路賽
f1gp      1233 SIM 世界巡迴賽車
BADB      1234 RPG 勢不兩立
TD        1235 SIM 試驗駕駛
TD2       1236 SIM 試驗駕駛2
TD3       1237 SIM 試驗駕駛3
AMULET    1238 RPG 首飾和盔甲
A4        1239 SIM 首席執行官
CEO       1240 SIM 首席執行官
GABRIEL   1241 AVG 狩魔獵人
LG        1242 RPG 獸鄉守衛者
brutal    1243 ACT 獸爪快打
scooterm  1244 PUZ 舒克達的魔法城堡
LEGEND2   1245 RPG 蜀山劍俠傳之紫菁雙劍錄
KINBAKU   1246 HGA 束縛之館
AIM       1247 PUZ 數學大冒險
MEGAMATH  1248 PUZ 數學大作戰
wwf1995   1249 ACT 摔角聯盟1995
DD        1250 ACT 雙截龍
ddragon2  1251 ACT 雙截龍2
ddragon3  1252 ACT 雙截龍3
UGAM      1253 PUZ 雙陸棋
TWINION   1254 RPG 雙子城命運
LBA       1255 AVG 雙子星傳奇/大小不良
LBA2      1256 AVG 雙子星傳奇2
rogerrb   1257 ACT 誰陷害了兔子羅傑
LOOPZ     1258 PUZ 水管工
PIPE      1259 PUZ 水管工
mariovga  1260 ACT 水管馬里奧
FRUIT     1261 PUZ 水果大亨
WATER1    1262 SLG 水滸傳
WATER2    1263 RPG 水滸傳少年英雄
WATER     1264 ACT 水滸傳之梁山英雄
SHHUO     1265 AVG 水滸英雄傳之火之魂
cmaze     1266 PUZ 水晶迷宮
clock     1267 PUZ 順時針謎題
worldatw  1268 SLG 斯大林格勒
scorcher  1269 SIM 斯科奇賽
stellar7  1270 SIM 斯特拉七號
IOD       1271 ACT 死亡島
prayfor   1272 ACT 死亡禱告
carma     1273 SIM 死亡飛車
TOD       1274 RTS 死亡劇場
RALLY     1275 SIM 死亡拉力賽
dkkrynn   1276 RPG 死亡騎士
DRACER    1277 SIM 死亡賽車
degate    1278 AVG 死亡之門
DON       1279 AVG 死亡之夜
DARK      1280 ACT 死星戰將
DBRINGER  1281 ACT 死刑之劍
4R2       1282 PUZ 四川省2
TT3       1283 PUZ 四川省3
VOYAGES   1284 RPG 四海冒險家
sspeed    1285 SIM 四人車賽
sspeedxs  1286 SIM 四人車賽聖誕版
oscar     1287 ACT 松鼠奧斯卡
PAPERBOY  1288 ACT 送報童
speedb    1289 SIM 速度球
sb2       1290 SIM 速度球2
HEROS     1291 SLG 隋唐英雄傳
talosv    1292 ACT 塔羅斯的警覺
TWAR      1293 SLG 台海防衛戰
SIMELECT  1294 SIM 台灣模擬選戰
TK        1295 SIM 太閣立志傳
invasion  1296 ACT 太空蝙蝠大戰
plan9     1297 AVG 太空第9計劃
BARIS     1298 SIM 太空計劃
ROBINSON  1299 RPG 太空魯賓遜
vixens    1300 HGA 太空女妖
galwr     1301 ACT 太空勇士鼠
tb        1302 SPG 太平天國
transarc  1303 SIM 太平洋公爵
pstrk     1304 SIM 太平洋突擊
ACEP      1305 SIM 太平洋王牌飛行員
AP        1306 SIM 太平洋王牌飛行員+資料片
tekwar    1307 ACT 泰克戰爭
tf        1308 ACT 泰拉之火
AMAZON    1309 ACT 貪食蛇
greed     1310 ACT 貪慾訴求
TANK      1311 ACT 坦克大決戰
mantis    1312 SIM 螳螂戰機
escahell  1313 RPG 逃離地獄
delirium  1314 AVG 逃離瘋人院
DBRAIN    1315 AVG 逃離腦博士的城堡
LODERUNN  1316 PUZ 淘金者
guyspy    1317 ACT 特工蓋之毀滅水晶
stdriver  1318 SIM 特技駕駛員
stunts    1319 SIM 特技賽車
SIPLAY    1320 SIM 特技之島
dredd     1321 ACT 特警判官
INTGIRLS  1322 HGA 特蕾莎
PDS       1323 SPG 特勤機甲隊
PDS2      1324 SPG 特勤機甲隊2
PD3       1325 SPG 特勤機甲隊2增強版
FORCES    1326 RTS 特種部隊
TEK2      1327 SLG 提督之決斷2
TYRIAN    1328 ACT 提爾戰機
tyrian2   1329 ACT 提爾戰機2000
GENIUS    1330 PUZ 天才寶寶大進擊
SILK      1331 HGA 天蠶變
TENCHI    1332 AVG 天地無用
EMPEROR   1333 RPG 天帝之子
tl8       1334 RPG 天龍八部
skyroads  1335 SIM 天路賽車
skyxmas   1336 SIM 天路賽車聖誕版
ORFD      1337 RPG 天晴傳
TAN       1338 RPG 天師鍾馗
MJT       1339 SPG 天使Q女學院
ANGEL     1340 SPG 天使帝國
ANGEL2    1341 SPG 天使帝國2
ANG       1342 RPG 天使任務
heaveart  1343 SIM 天堂和人間
SWORD     1344 RPG 天外劍聖錄
ST        1345 ACT 天下無敵
TENKA     1346 SLG 天下一統
DESCENT   1347 ACT 天旋地轉
DESCENT2  1348 ACT 天旋地轉2
jump      1349 ACT 跳跳跳
dinamic   1350 ACT 鐵錘男孩
hook      1351 AVG 鐵鉤船長
FMJ       1352 SPG 鐵甲神兵
ATRA      1353 SLG 鐵甲戰艦
ATRAIN    1354 SIM 鐵路A計劃+資料篇
railsdx   1355 SIM 鐵路大亨豪華版
SCH       1356 SLG 鐵鎖的星群
BLOODF    1357 SIM 鐵血橄欖球
JA        1358 SLG 鐵血聯盟
jadg      1359 SLG 鐵血聯盟死亡遊戲
REDNECK   1360 ACT 鐵血農夫1
redneck2  1361 ACT 鐵血農夫再度出擊
HARDNOVA  1362 RPG 鐵血傭兵
PRED      1363 ACT 鐵血戰士2
tube      1364 SIM 通道
gateway   1365 AVG 通路1
gateway2  1366 AVG 通路2
NANPA1    1367 HGA 同級生1
NANPA2    1368 HGA 同級生2
FAIRYT    1369 AVG 童話新編
citylost  1370 AVG 童夢失魂夜/迷兒城
LR        1371 ACT 偷金子
skulls    1372 ACT 頭骨與骷髏十字
no1       1373 SPG 頭號通緝犯
condor    1374 AVG 禿鷹疑案
off       1375 RTS 突擊
CTMIX     1376 ACT 突擊美少女
ASSAULT   1377 ACT 突擊士兵
breach2   1378 SLG 突破2
b3        1379 SLG 突破3
assaultw  1380 ACT 突襲之翼
strikec   1381 SIM 突襲指揮官
REUNION   1382 RTS 團聚
gobman    1383 ACT 吞豆人
SANGO     1384 RPG 吞食天地1
SANGO2    1385 RPG 吞食天地2
SANGO3    1386 SPG 吞食天地3
ss4       1387 RPG 吞食天地4
sangoqs   1388 RPG 吞食天地青衫版
OUTRIDGE  1389 SIM 外太空
alieno    1390 SIM 外星奧林匹克
TRADERS   1391 PUZ 外星大富翁
TURRICAN  1392 ACT 外星悍將2
DESERT    1393 ACT 灣岸作戰
TPG2      1394 SLG 完美將軍2
CAT       1395 ACT 頑皮貓
goblins   1396 AVG 頑皮小精靈
gob2      1397 AVG 頑皮小精靈2
GOB3      1398 AVG 頑皮小精靈3
WLCC      1399 RPG 萬里長城邊城奇俠
CADAVER2  1400 ACT 亡魂復仇
AOD       1401 SIM 王牌潛艇+資料片
heirs     1402 SLG 王位繼承者
PRLG      1403 RPG 王子傳奇
qrally    1404 SIM 網絡拉力賽
tenise    1405 SIM 網球訓練
ADCOP     1406 ACT 危機特勤組
risky     1407 ACT 危險叢林
rick1     1408 ACT 危險的裡克1
rick2     1409 ACT 危險的裡克2
DANS      1410 ACT 危險街道
willy     1411 AVG 威利的暑假
whizz     1412 ACT 威茲兔
CSIEGE    1413 RTS 微城爭霸
SIEGE     1414 RTS 微城爭霸英版+資料片
CDOGS     1415 RTS 微城爭霸戰狗(中文)
twilight  1416 RPG 微光2000
MSP       1417 SIM 微軟飛行模擬+3個資料片
MCSPACE   1418 SIM 微軟太空模擬
MICRO     1419 ACT 微型機器1
MICRO2    1420 ACT 微型機器2
ween      1421 AVG 韋恩的預言
MFGO      1422 PUZ 圍棋大戰
NEMESIS   1423 PUZ 圍棋精華
viking    1424 SLG 維京戰爭
vette     1425 SIM 維特自由賽車
FW        1426 AVG 未來戰爭時間旅者
CIV       1427 SIM 文明
immeen    1428 ACT 我是米恩
